,Date,Adj Close
0,0,30.0
1,1,29.98218369354734
2,2,30.191165937422642
3,3,29.784948387399158
4,4,29.61391767620456
5,5,29.260945411073696
6,6,29.418154385573835
7,7,29.531637728557833
8,8,29.57926962980576
9,9,29.718480164707415
10,10,29.279990178598354
11,11,28.86790422962983
12,12,28.78626530641756
13,13,28.86344891240132
14,14,29.386885134424038
15,15,28.94066127734695
16,16,28.693731368704437
17,17,28.876751815530003
18,18,29.20471653855958
19,19,29.219744779430666
20,20,29.245239771211228
21,21,28.704379456388118
22,22,28.409555799448356
23,23,28.253212858405515
24,24,28.278304667374197
25,25,28.32869053885235
26,26,27.92629879238258
27,27,27.18496390430281
28,28,27.049635134088746
29,29,27.059204214120204
30,30,27.20276645593305
31,31,27.099591682076802
32,32,26.703501093806885
33,33,26.87813892675607
34,34,26.411243762663798
35,35,26.046139609429563
36,36,25.98668937201766
37,37,25.96901598449056
38,38,26.242424286243672
39,39,26.089972168528284
40,40,26.317107465864268
41,41,26.292927014350905
42,42,25.991711951422896
43,43,26.256401499887883
44,44,26.463324470324576
45,45,26.693845915660777
46,46,26.692651649673227
47,47,26.268922212196163
48,48,26.03473323328298
49,49,26.369538068339878
50,50,26.32350508506036
51,51,25.787867884976425
52,52,25.91945773103515
53,53,25.865614369188243
54,54,25.64507075358538
55,55,25.5572295932944
56,56,25.406927026071028
57,57,25.427159745053977
58,58,25.458755221075595
59,59,25.454553092760282
60,60,25.626826689917962
61,61,25.49132616614924
62,62,25.637659355974687
63,63,25.628309858405956
64,64,25.53137300706029
65,65,25.376606406997652
66,66,25.329599727376603
67,67,25.546937949603
68,68,25.715137552715095
69,69,25.720295054342767
70,70,25.83933714375336
71,71,25.338336622853102
72,72,25.84757613670841
73,73,25.961369264255815
74,74,25.930002072662553
75,75,26.12297058439186
76,76,26.046294657438164
77,77,26.20103122162508
78,78,25.924042232977285
79,79,25.988406511027826
80,80,26.17087654932409
81,81,25.74255529771676
82,82,25.152586722752343
83,83,25.42453849839526
84,84,25.580558515845127
85,85,25.322711808650652
86,86,24.871590577253684
87,87,24.791035299206513
88,88,24.976823247779524
89,89,25.105106062285103
90,90,25.073916538963065
91,91,24.451112149262052
92,92,24.168519252482543
93,93,24.437850882180165
94,94,24.322044891124662
95,95,24.85851680886943
96,96,25.018684264507485
97,97,25.153117007680862
98,98,25.492383159646653
99,99,25.61802688191987
100,100,25.65544888105964
101,101,25.98910601602883
